play_id,game_id,season_type,week,posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,home_team,away_team,game_seconds_remaining,game_half,drive,down,time,yrdln,ydstogo,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,run_location,run_gap,home_timeouts_remaining,away_timeouts_remaining,total_home_score,total_away_score,passer_player_name,receiver_player_name,rusher_player_name,play_type_nfl,roof,surface,temp,wind,home_coach,away_coach,game_stadium,success
53,2012_01_NE_TEN,REG,1,TEN,home,NE,TEN,80.0,1800.0,TEN,NE,3600.0,Half1,1.0,1.0,15:00,TEN 20,10,(15:00) 10-J.Locker scrambles right end pushed ob at TEN 22 for 2 yards (54-D.Hightower).,pass,2.0,0,0,1.0,0,0,1,,right,end,3,3,0,0,,,J.Locker,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
75,2012_01_NE_TEN,REG,1,TEN,home,NE,TEN,78.0,1773.0,TEN,NE,3573.0,Half1,1.0,2.0,14:33,TEN 22,8,(14:33) 28-C.Johnson left guard to TEN 23 for 1 yard (25-P.Chung; 51-J.Mayo).,run,1.0,0,0,0.0,0,0,0,,left,guard,3,3,0,0,,,C.Johnson,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
96,2012_01_NE_TEN,REG,1,TEN,home,NE,TEN,77.0,1731.0,TEN,NE,3531.0,Half1,1.0,3.0,13:51,TEN 23,7,(13:51) (Shotgun) 10-J.Locker pass short middle to 13-K.Wright to TEN 40 for 17 yards (28-S.Gregory).,pass,17.0,1,0,1.0,0,0,0,short,,,3,3,0,0,J.Locker,K.Wright,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,1.0
120,2012_01_NE_TEN,REG,1,TEN,home,NE,TEN,60.0,1692.0,TEN,NE,3492.0,Half1,1.0,1.0,13:12,TEN 40,10,(13:12) 28-C.Johnson left guard to TEN 45 for 5 yards (51-J.Mayo).,run,5.0,0,0,0.0,0,0,0,,left,guard,3,3,0,0,,,C.Johnson,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,1.0
174,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,46.0,1653.0,TEN,NE,3453.0,Half1,1.0,1.0,12:33,NE 46,10,(12:33) (Shotgun) 10-J.Locker pass short right to 25-D.Reynaud to NE 42 for 4 yards (54-D.Hightower).,pass,4.0,1,0,1.0,0,0,0,short,,,3,3,0,0,J.Locker,D.Reynaud,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
198,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,42.0,1614.0,TEN,NE,3414.0,Half1,1.0,2.0,11:54,NE 42,6,(11:54) 28-C.Johnson up the middle to NE 38 for 4 yards (25-P.Chung).,run,4.0,0,0,0.0,0,0,0,,middle,,3,3,0,0,,,C.Johnson,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
219,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,38.0,1578.0,TEN,NE,3378.0,Half1,1.0,3.0,11:18,NE 38,2,(11:18) 28-C.Johnson up the middle to NE 37 for 1 yard (51-J.Mayo).,run,1.0,0,0,0.0,0,0,0,,middle,,3,3,0,0,,,C.Johnson,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
240,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,37.0,1537.0,TEN,NE,3337.0,Half1,1.0,4.0,10:37,NE 37,1,(10:37) (Shotgun) 10-J.Locker pass deep left to 85-N.Washington to NE 13 for 24 yards (24-K.Arrington).,pass,24.0,1,0,1.0,0,0,0,deep,,,3,3,0,0,J.Locker,N.Washington,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,1.0
264,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,13.0,1511.0,TEN,NE,3311.0,Half1,1.0,1.0,10:11,NE 13,10,(10:11) 10-J.Locker pass short right to 17-D.Williams pushed ob at NE 12 for 1 yard (32-D.McCourty).,pass,1.0,0,0,1.0,0,0,0,short,,,3,3,0,0,J.Locker,D.Williams,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
293,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,12.0,1473.0,TEN,NE,3273.0,Half1,1.0,2.0,09:33,NE 12,9,(9:33) 28-C.Johnson right tackle to NE 10 for 2 yards (74-K.Love).,run,2.0,0,0,0.0,0,0,0,,right,tackle,3,3,0,0,,,C.Johnson,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
314,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,10.0,1433.0,TEN,NE,3233.0,Half1,1.0,3.0,08:53,NE 10,7,(8:53) (Shotgun) 10-J.Locker pass incomplete short right to 17-D.Williams (32-D.McCourty).,pass,0.0,1,0,1.0,0,0,0,short,,,3,3,0,0,J.Locker,D.Williams,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
336,2012_01_NE_TEN,REG,1,TEN,home,NE,NE,10.0,1427.0,TEN,NE,3227.0,Half1,1.0,4.0,08:47,NE 10,7,"(8:47) (Field Goal formation) 2-R.Bironas 28 yard field goal is GOOD, Center-48-B.Brinkley, Holder-6-B.Kern.",field_goal,0.0,0,0,0.0,0,0,0,,,,3,3,3,0,,,,FIELD_GOAL,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,1.0
387,2012_01_NE_TEN,REG,1,NE,away,TEN,NE,74.0,1417.0,TEN,NE,3217.0,Half1,2.0,1.0,08:37,NE 26,10,(8:37) 12-T.Brady pass short right to 81-A.Hernandez to NE 34 for 8 yards (52-C.McCarthy).,pass,8.0,0,0,1.0,0,0,0,short,,,3,3,3,0,T.Brady,A.Hernandez,,PASS,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,1.0
411,2012_01_NE_TEN,REG,1,NE,away,TEN,NE,66.0,1382.0,TEN,NE,3182.0,Half1,2.0,2.0,08:02,NE 34,2,(8:02) 22-S.Ridley left guard to NE 35 for 1 yard (95-K.Wimbley).,run,1.0,0,0,0.0,0,0,0,,left,guard,3,3,3,0,,,S.Ridley,RUSH,outdoors,grass,74.0,4.0,Mike Munchak,Bill Belichick,LP Field,0.0
